time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
55197,-0.00015,-1e-05,-1e-05,4e-05,3e-05,9e-05,4e-05,7e-05,0,25
33633,2e-05,-1e-05,0.0,0.0,5e-05,-0.00035,-0.00017,7e-05,0,12
44650,-0.00043,-0.00031,-5e-05,5e-05,6e-05,-1e-05,-1e-05,-0.00016,0,20
33579,1e-05,5e-05,2e-05,4e-05,4e-05,3e-05,0.0,-1e-05,1,9
27117,-2e-05,-0.0001,-0.0002,-0.00041,-0.00034,-4e-05,2e-05,1e-05,5,12
16088,1e-05,1e-05,2e-05,2e-05,-1e-05,1e-05,1e-05,-2e-05,0,34
47541,0.00022,7e-05,-1e-05,-0.00015,0.00033,-1e-05,1e-05,5e-05,0,35
54185,0.0001,-6e-05,0.0001,0.00029,6e-05,-0.0001,-2e-05,2e-05,0,8
19633,2e-05,0.00018,0.00075,0.00051,0.00012,5e-05,6e-05,3e-05,0,22
53586,-1e-05,-3e-05,-5e-05,-1e-05,0.00022,7e-05,2e-05,-1e-05,0,13
14388,-2e-05,-1e-05,1e-05,0.0,1e-05,-1e-05,1e-05,-1e-05,0,23
19618,0.0,-2e-05,-4e-05,-9e-05,-0.00021,-1e-05,-1e-05,1e-05,0,30
48863,0.00115,0.00123,0.00029,9e-05,0.00098,3e-05,-0.00011,-0.0007,0,11
25707,-1e-05,4e-05,7e-05,0.00023,-0.00014,3e-05,-1e-05,-1e-05,0,2
6902,-0.00037,-5e-05,-7e-05,0.00016,7e-05,1e-05,-0.0001,-0.00023,0,9
15250,0.00014,-3e-05,-0.0001,-3e-05,-4e-05,-0.00014,-8e-05,1e-05,0,17
65397,2e-05,3e-05,-2e-05,-2e-05,1e-05,-1e-05,0.0,0.0,0,2
15240,-4e-05,-4e-05,-5e-05,-0.0001,-6e-05,-3e-05,-5e-05,-3e-05,0,2
54870,0.0,-2e-05,0.00019,0.00014,-3e-05,5e-05,-1e-05,-2e-05,4,7
13272,-1e-05,-1e-05,-1e-05,1e-05,-3e-05,8e-05,0.0,0.0,0,36
58716,-0.00031,-9e-05,-7e-05,-0.00018,-0.00014,-5e-05,-3e-05,-4e-05,0,7
6526,-0.00024,0.0,4e-05,0.00018,-9e-05,0.00014,0.0003,-0.00015,2,18
902,-3e-05,-5e-05,-5e-05,-7e-05,0.0,0.0,-2e-05,-3e-05,0,9
29470,-1e-05,0.0,-1e-05,-1e-05,-1e-05,0.0,-2e-05,0.0,0,24
62337,-1e-05,0.00011,0.00017,0.00017,-0.00014,-0.0001,-3e-05,2e-05,6,25
37681,-3e-05,-1e-05,-5e-05,-0.0001,-0.00012,-6e-05,-4e-05,-2e-05,1,30
34544,-1e-05,-4e-05,-2e-05,-2e-05,0.00013,8e-05,0.00018,5e-05,0,3
10197,1e-05,-5e-05,-4e-05,-8e-05,-0.0001,6e-05,-2e-05,-1e-05,0,30
24548,-0.00012,0.00015,3e-05,-3e-05,0.00011,-1e-05,0.0,1e-05,0,32
41871,-1e-05,-4e-05,-4e-05,-9e-05,-0.00104,-0.0004,-0.00014,-5e-05,4,35
64350,-4e-05,3e-05,4e-05,-0.00031,-0.00069,0.00012,6e-05,0.00022,0,20
21395,-8e-05,-6e-05,-0.00018,-0.00033,-0.00024,-0.00012,0.0001,-4e-05,5,6
50003,-1e-05,1e-05,4e-05,2e-05,1e-05,0.0,-1e-05,-1e-05,0,1
9893,5e-05,-4e-05,-2e-05,-1e-05,0.0,-1e-05,-4e-05,-0.00021,3,36
5714,8e-05,-4e-05,-4e-05,0.0,0.0003,0.0005,0.00022,4e-05,2,34
44063,-7e-05,-4e-05,2e-05,7e-05,-0.00029,-6e-05,8e-05,4e-05,5,35
4084,-1e-05,1e-05,0.0,-2e-05,-2e-05,-2e-05,-0.00014,0.0,0,18
34951,0.00037,0.0003,0.00093,-0.00026,-0.00093,-0.00028,4e-05,0.0002,2,8
51360,-2e-05,-1e-05,-4e-05,-3e-05,-3e-05,-1e-05,-3e-05,1e-05,0,2
48298,-0.00021,0.0,7e-05,2e-05,1e-05,1e-05,0.0,-0.00015,0,22
2643,0.0,-4e-05,-4e-05,-5e-05,-0.00023,-0.00023,1e-05,-2e-05,1,30
6994,0.0,5e-05,6e-05,2e-05,-2e-05,-9e-05,-2e-05,5e-05,0,31
40869,-6e-05,1e-05,9e-05,1e-05,3e-05,7e-05,1e-05,-6e-05,2,17
13940,3e-05,3e-05,6e-05,0.00018,0.00013,0.00017,8e-05,0.0,0,4
31979,1e-05,4e-05,0.0001,9e-05,-2e-05,7e-05,2e-05,2e-05,0,25
23596,-5e-05,-4e-05,-5e-05,-8e-05,-2e-05,-5e-05,-3e-05,-2e-05,0,29
40443,-1e-05,-3e-05,-5e-05,-3e-05,0.00038,7e-05,0.0,-1e-05,0,23
11698,1e-05,0.0,-1e-05,7e-05,6e-05,-0.00025,5e-05,1e-05,0,23
57821,-2e-05,-7e-05,-0.00017,-3e-05,-3e-05,-3e-05,-3e-05,-2e-05,0,17
59501,-2e-05,1e-05,6e-05,-0.00016,-0.00047,4e-05,-2e-05,-1e-05,0,30
26709,-2e-05,-3e-05,1e-05,0.0,0.0,1e-05,0.0,-2e-05,0,19
62617,-1e-05,-2e-05,-1e-05,-2e-05,1e-05,-2e-05,-1e-05,-1e-05,0,10
9193,-1e-05,0.0,-2e-05,-0.00014,-4e-05,0.0,-3e-05,0.0,0,10
6267,-0.00033,-9e-05,-0.00035,0.00031,0.0,-0.00018,-0.0001,-0.00019,0,33
47401,0.0,1e-05,-1e-05,-0.00026,-0.00032,-0.00011,-0.0001,2e-05,5,29
54483,-0.00017,-0.00016,-0.00025,0.00071,0.00051,0.0,-4e-05,-5e-05,5,10
18192,3e-05,4e-05,-3e-05,0.00013,0.00109,0.00032,6e-05,0.0,4,9
33222,-5e-05,3e-05,-0.00012,-4e-05,0.00047,-1e-05,-5e-05,-0.00017,2,36
20162,0.0,2e-05,-1e-05,-1e-05,-0.00014,4e-05,2e-05,0.0,0,30
43600,-7e-05,-3e-05,-6e-05,-4e-05,0.00036,8e-05,-0.00024,-0.00013,4,15
41825,5e-05,5e-05,6e-05,-5e-05,-2e-05,-2e-05,-2e-05,8e-05,3,22
33965,0.0,1e-05,0.0,2e-05,1e-05,1e-05,0.0,-1e-05,0,35
9475,0.0,1e-05,1e-05,-6e-05,-0.00013,-1e-05,-1e-05,-3e-05,0,26
4770,-3e-05,0.0,3e-05,3e-05,-0.00017,-0.00016,-0.0001,1e-05,2,28
37293,1e-05,0.0,4e-05,6e-05,2e-05,-1e-05,-2e-05,-1e-05,1,12
5872,9e-05,-0.00054,-0.0002,-0.00082,0.00042,-0.00026,9e-05,5e-05,2,23
55599,0.0006,0.00011,1e-05,-1e-05,4e-05,-0.00025,0.00039,-0.00017,6,21
49353,0.00017,4e-05,0.00082,6e-05,9e-05,6e-05,1e-05,1e-05,0,22
56480,-1e-05,3e-05,3e-05,1e-05,-2e-05,-2e-05,-1e-05,-2e-05,0,9
16863,-4e-05,3e-05,-0.00012,-0.00027,-0.00046,-0.00011,-0.00019,-9e-05,4,3
54980,3e-05,0.0001,-2e-05,4e-05,-0.00032,0.0005,5e-05,3e-05,0,34
26565,-1e-05,-2e-05,-2e-05,6e-05,-1e-05,-1e-05,0.0,0.0,0,10
41167,0.0,-0.00012,-2e-05,-0.00028,0.00013,-2e-05,1e-05,-8e-05,4,28
25219,-1e-05,-4e-05,-3e-05,-3e-05,-0.00014,-1e-05,-1e-05,1e-05,0,30
4890,4e-05,1e-05,0.00013,5e-05,-3e-05,5e-05,1e-05,4e-05,0,6
13891,-2e-05,-2e-05,-7e-05,-0.00033,-0.0004,-0.00023,-5e-05,-2e-05,0,4
49547,-0.00014,0.00013,0.00077,0.00043,-3e-05,-0.0001,-9e-05,-0.0001,0,22
23298,-3e-05,-1e-05,-1e-05,-2e-05,-2e-05,-7e-05,-4e-05,-2e-05,0,15
26422,0.0,-4e-05,-5e-05,-5e-05,-2e-05,-4e-05,-2e-05,-1e-05,1,31
3788,-2e-05,-1e-05,-3e-05,-3e-05,0.0,-1e-05,-1e-05,-1e-05,1,12
2858,-3e-05,-6e-05,-6e-05,-3e-05,-4e-05,-3e-05,0.0,-1e-05,0,10
7044,-7e-05,-4e-05,-3e-05,-0.00021,-0.00025,-1e-05,-0.00018,-5e-05,2,23
44622,-2e-05,-3e-05,-3e-05,0.0,-0.00022,-0.00115,-0.00032,-2e-05,4,15
2758,-1e-05,-2e-05,-1e-05,-1e-05,2e-05,2e-05,1e-05,-2e-05,0,28
14792,1e-05,5e-05,0.00018,0.00076,0.00014,-0.00049,-0.00013,-5e-05,0,33
50250,0.0,-3e-05,1e-05,-1e-05,-2e-05,4e-05,1e-05,1e-05,0,6
22440,0.00018,7e-05,-6e-05,0.0001,0.00014,-4e-05,-1e-05,6e-05,5,19
3999,-0.00046,-0.00051,-0.00056,-0.00098,0.00072,-0.00023,-0.00019,-0.0005,0,15
45264,0.0,1e-05,1e-05,2e-05,1e-05,-1e-05,3e-05,-1e-05,0,1
65567,-4e-05,-2e-05,-3e-05,-0.00017,-0.00019,1e-05,3e-05,0.0,0,30
11629,-4e-05,-4e-05,0.0,0.00013,0.00044,3e-05,-1e-05,0.0,0,7
22769,-1e-05,0.0,2e-05,0.0,-1e-05,-1e-05,-1e-05,-3e-05,0,18
37082,-0.00017,-0.00067,0.0001,0.00037,-0.00016,-5e-05,-3e-05,-4e-05,2,22
45665,-2e-05,-4e-05,-5e-05,8e-05,-1e-05,-5e-05,2e-05,-3e-05,0,9
44497,1e-05,2e-05,3e-05,8e-05,0.00013,2e-05,1e-05,1e-05,0,30
55479,6e-05,2e-05,3e-05,5e-05,0.00029,-0.00015,-4e-05,-4e-05,0,30
23874,-4e-05,4e-05,2e-05,-8e-05,0.00013,-0.00026,-0.0002,-9e-05,0,12
38754,1e-05,0.00038,3e-05,-2e-05,-5e-05,-0.00014,-2e-05,-3e-05,0,15
38667,2e-05,-1e-05,-5e-05,0.0001,6e-05,0.00011,2e-05,4e-05,0,12
20977,0.0,-1e-05,-2e-05,-0.0007,-0.00048,-6e-05,-5e-05,-2e-05,0,23
56910,8e-05,-2e-05,-2e-05,-2e-05,-1e-05,-0.00045,0.00029,0.00027,6,5
39103,-0.00103,-0.00016,-2e-05,-0.0002,-0.0001,-0.0001,-8e-05,-8e-05,2,24
9275,-8e-05,-0.00025,-3e-05,-5e-05,-5e-05,0.00012,-0.00014,0.00015,3,15
55185,-5e-05,-1e-05,8e-05,0.00031,-0.00019,-3e-05,-9e-05,4e-05,0,25
34895,2e-05,5e-05,-1e-05,4e-05,3e-05,-3e-05,0.0,-1e-05,0,3
59554,-2e-05,0.0,3e-05,-4e-05,-0.00013,-9e-05,-1e-05,-2e-05,0,2
16040,-7e-05,-0.00011,-0.00017,-0.00038,0.00041,-0.00012,-0.00011,-6e-05,4,24
21294,-2e-05,-1e-05,-3e-05,-5e-05,0.0,4e-05,0.0,0.0,0,36
58860,-0.00018,-0.00015,4e-05,8e-05,0.00036,0.0,-0.00021,-0.00015,0,23
37738,0.0,-1e-05,-2e-05,-0.00012,-4e-05,-7e-05,0.0,-2e-05,0,14
13144,-1e-05,0.0,-2e-05,-3e-05,1e-05,1e-05,-1e-05,-1e-05,0,36
5161,-2e-05,-2e-05,-6e-05,-8e-05,-5e-05,-2e-05,1e-05,0.0,1,26
39104,-0.00018,-0.00011,-0.00014,-0.00019,0.00016,0.00015,-1e-05,-0.00016,2,9
19740,-0.00013,-7e-05,3e-05,3e-05,-0.00035,-7e-05,0.0,-1e-05,0,34
847,-2e-05,-1e-05,-1e-05,-2e-05,1e-05,-3e-05,0.0,0.0,0,35
34051,0.00013,0.0,3e-05,-5e-05,2e-05,9e-05,-6e-05,-5e-05,2,4
46252,-3e-05,-7e-05,-2e-05,-4e-05,-6e-05,-1e-05,0.0,0.0,0,10
31260,-3e-05,-4e-05,-3e-05,-5e-05,-1e-05,-2e-05,-5e-05,-2e-05,0,33
47092,0.0,-3e-05,-5e-05,-1e-05,0.0,-1e-05,0.0,2e-05,0,1
48099,-1e-05,0.0,0.0,0.0,-0.00014,-0.00031,-7e-05,-6e-05,2,2
42158,-1e-05,-5e-05,-6e-05,-5e-05,-2e-05,-3e-05,-2e-05,1e-05,0,1
59507,-0.00031,-5e-05,0.0,-0.00018,0.00013,-1e-05,-1e-05,-3e-05,0,9
51404,-3e-05,0.0,0.0001,0.00029,0.00024,0.00016,0.00018,5e-05,4,12
36272,0.0,-2e-05,-4e-05,-3e-05,4e-05,0.0,0.0,-1e-05,0,31
52015,0.0,-3e-05,-2e-05,-4e-05,-2e-05,-7e-05,-2e-05,-2e-05,0,26
20524,-6e-05,6e-05,4e-05,0.00015,2e-05,8e-05,3e-05,-2e-05,5,36
43963,-1e-05,1e-05,4e-05,1e-05,0.0,-1e-05,0.0,-2e-05,0,1
43911,8e-05,0.0,1e-05,-3e-05,-0.00028,-2e-05,-0.00016,-9e-05,3,7
47431,-9e-05,-0.00025,0.0,-5e-05,-8e-05,-0.00012,0.0,-2e-05,0,34
52561,-3e-05,-2e-05,-2e-05,-1e-05,1e-05,1e-05,-2e-05,-2e-05,0,24
21828,-6e-05,0.0,1e-05,-0.00013,-0.00024,-0.00013,-6e-05,-5e-05,5,24
1924,0.0,1e-05,5e-05,3e-05,2e-05,2e-05,0.0,0.0,1,13
19976,-3e-05,-5e-05,0.0003,-0.00019,-0.00123,-6e-05,-4e-05,-2e-05,0,20
10903,-2e-05,8e-05,-1e-05,3e-05,-5e-05,7e-05,7e-05,0.00054,3,19
3541,-1e-05,5e-05,0.00044,0.00028,0.00012,1e-05,0.00016,2e-05,0,4
18517,-8e-05,-0.00015,-0.00043,0.00019,6e-05,3e-05,-0.0001,-8e-05,4,2
62140,-2e-05,-1e-05,1e-05,-6e-05,-0.00011,0.00011,8e-05,-0.00012,6,9
30977,-3e-05,4e-05,2e-05,-9e-05,-6e-05,-0.00024,-0.0005,-0.00034,0,3
23293,9e-05,-0.00021,0.00017,0.00011,0.00022,0.00019,-0.0001,1e-05,0,8
5585,-9e-05,-4e-05,-2e-05,3e-05,9e-05,0.00015,0.00021,0.0002,2,4
29049,3e-05,1e-05,-6e-05,-2e-05,-0.00027,-5e-05,0.0,1e-05,0,7
993,-2e-05,-0.00011,1e-05,1e-05,1e-05,0.0,-1e-05,-2e-05,0,18
3732,-8e-05,-4e-05,-0.00015,7e-05,-3e-05,-0.00013,-0.00017,-0.0001,0,25
42022,4e-05,5e-05,-6e-05,-0.00022,-0.00016,1e-05,-2e-05,1e-05,0,30
13912,-2e-05,-2e-05,-6e-05,-8e-05,-7e-05,2e-05,-2e-05,0.0,0,10
5913,3e-05,1e-05,1e-05,-7e-05,-5e-05,-0.00013,-0.00011,6e-05,2,5
11810,5e-05,5e-05,0.00015,8e-05,0.00029,-7e-05,-0.00016,-5e-05,0,8
3231,-6e-05,-7e-05,-0.00017,2e-05,0.00032,7e-05,-0.00014,-4e-05,0,31
24641,-2e-05,-3e-05,-7e-05,-6e-05,-0.00015,-1e-05,-2e-05,-2e-05,0,13
24595,4e-05,8e-05,0.00014,2e-05,2e-05,5e-05,0.0,6e-05,0,22
53306,-2e-05,-4e-05,-6e-05,-0.00039,-0.00054,0.00017,-1e-05,-1e-05,4,18
35736,-4e-05,-3e-05,0.00029,-2e-05,1e-05,-2e-05,-5e-05,-1e-05,0,28
7660,1e-05,0.0,-2e-05,-2e-05,-1e-05,-1e-05,-4e-05,-1e-05,0,4
27707,0.0,-2e-05,-1e-05,-1e-05,-6e-05,-1e-05,-7e-05,8e-05,0,25
67365,7e-05,0.00015,0.00027,0.00112,0.00028,0.00011,5e-05,-8e-05,5,13
46077,-3e-05,-9e-05,-8e-05,-2e-05,0.0,2e-05,1e-05,0.00018,3,9
63414,-3e-05,-2e-05,-1e-05,2e-05,0.00013,-2e-05,-2e-05,-2e-05,0,20
13994,6e-05,5e-05,0.00013,0.00035,0.0001,0.00019,7e-05,-4e-05,4,14
37574,-2e-05,1e-05,1e-05,3e-05,1e-05,1e-05,-1e-05,-2e-05,0,8
50609,0.0,3e-05,-0.00011,-0.00074,-0.00087,-0.00011,-3e-05,-2e-05,4,2
22413,-1e-05,-2e-05,-8e-05,-2e-05,-5e-05,0.0002,0.00017,1e-05,0,7
43175,0.00044,0.00037,-1e-05,1e-05,-0.00029,-0.0002,0.00016,0.00011,3,33
37102,-7e-05,-2e-05,1e-05,-6e-05,0.00012,0.0,0.0,-2e-05,1,7
26611,0.0,0.0,-2e-05,4e-05,2e-05,-4e-05,1e-05,0.0,1,14
35548,2e-05,0.00073,-4e-05,1e-05,-6e-05,-0.00011,3e-05,-1e-05,0,15
53836,-1e-05,1e-05,1e-05,0.0,-1e-05,-3e-05,-3e-05,-1e-05,0,5
9905,0.0,-6e-05,0.0,-5e-05,0.0,0.00024,3e-05,0.0,0,21
33373,-1e-05,-3e-05,-6e-05,-2e-05,-1e-05,-2e-05,-3e-05,1e-05,0,9
35633,0.0,1e-05,-2e-05,-2e-05,-0.00016,-0.00019,1e-05,-1e-05,0,33
2828,-1e-05,-2e-05,-1e-05,-1e-05,0.0,0.0,0.0,-1e-05,1,20
38344,0.00022,0.0,2e-05,7e-05,0.0001,-0.00023,-4e-05,-3e-05,2,18
22373,-2e-05,-4e-05,-5e-05,2e-05,0.00039,7e-05,0.0,0.0,0,11
